"genus","species","count","tree"
"Celtis","spec.",8,"Celtis spec."
"Diospyros","virginiana",8,"Diospyros virginiana"
"Fagus","spec.",8,"Fagus spec."
"Juniperus","communis",8,"Juniperus communis"
"Magnolia","",8,"Magnolia "
"Tamarix","tetranda",8,"Tamarix tetranda"
"x Sycoparrotia","semidecidua",8,"x Sycoparrotia semidecidua"
"Abies","spec.",7,"Abies spec."
"Acer","saccharum",7,"Acer saccharum"
"Broussonetia","papyrifera",7,"Broussonetia papyrifera"
"Catalpa","spec.",7,"Catalpa spec."
"Corylus","spec.",7,"Corylus spec."
"Koelreuteria","spec.",7,"Koelreuteria spec."
"Malus","x purpurea",7,"Malus x purpurea"
"Pinus","spec.",7,"Pinus spec."
"Prunus","x yedoensis",7,"Prunus x yedoensis"
"Quercus","dentata",7,"Quercus dentata"
"Sorbus","spec.",7,"Sorbus spec."
"Taxus","cuspidata",7,"Taxus cuspidata"
"Zelkova","serrulata",7,"Zelkova serrulata"
"Betula","alleghaniensis",6,"Betula alleghaniensis"
"Betula","lenta",6,"Betula lenta"
"Carya","ovata",6,"Carya ovata"
"Catalpa","speciosa",6,"Catalpa speciosa"
"Cercis","canadensis",6,"Cercis canadensis"
"Fagus","orientalis",6,"Fagus orientalis"
"Fraxinus","americana",6,"Fraxinus americana"
"Ilex","aquifolium (m)",6,"Ilex aquifolium (m)"
"Juglans","ailantifolia",6,"Juglans ailantifolia"
"Juniperus","virginiana",6,"Juniperus virginiana"
"Magnolia","grandiflora",6,"Magnolia grandiflora"
"Magnolia","stellata",6,"Magnolia stellata"
"Platanus","spec.",6,"Platanus spec."
"Pterocarya","stenoptera",6,"Pterocarya stenoptera"
"Quercus","castaneifolia",6,"Quercus castaneifolia"
"Quercus","pubescens",6,"Quercus pubescens"
"Salix","appenticulata",6,"Salix appenticulata"
"Salix","elaeagnos",6,"Salix elaeagnos"
"Salix","pentandra",6,"Salix pentandra"
"Abies","pinsapo",5,"Abies pinsapo"
"Betula","pubescens",5,"Betula pubescens"
"Carpinus","japonica",5,"Carpinus japonica"
"Cephalotaxus","fortunei",5,"Cephalotaxus fortunei"
"Cotinus","coggygria",5,"Cotinus coggygria"
"Idesia","polycarpa",5,"Idesia polycarpa"
"Ilex","aquifolium (w)",5,"Ilex aquifolium (w)"
"Juniperus","spec.",5,"Juniperus spec."
"Phellodendron","amurense",5,"Phellodendron amurense"
"Pinus","jeffreyi",5,"Pinus jeffreyi"
"Prunus","dulcis",5,"Prunus dulcis"
"Pyrus","pyrifolia",5,"Pyrus pyrifolia"
"Quercus","macrocarpa",5,"Quercus macrocarpa"
"Salix","myrsinifolia",5,"Salix myrsinifolia"
"Sorbus","latifolia",5,"Sorbus latifolia"
"Thuja","spec.",5,"Thuja spec."
"Tilia","x flavescens",5,"Tilia x flavescens"
"Aesculus","x arnoldiana",4,"Aesculus x arnoldiana"
"Alnus","subcordata",4,"Alnus subcordata"
"Aralia","elata",4,"Aralia elata"
"Crataegus","intricata",4,"Crataegus intricata"
"Cupressocyparis","leylandii",4,"Cupressocyparis leylandii"
"Cupressus","macrocarpa",4,"Cupressus macrocarpa"
"Cupressus","sempervirens",4,"Cupressus sempervirens"
"Magnolia","liliiflora",4,"Magnolia liliiflora"
"Picea","glauca",4,"Picea glauca"
"Pinus","strobus",4,"Pinus strobus"
"Pterocarya","spec.",4,"Pterocarya spec."
"Quercus","phellos",4,"Quercus phellos"
"Quercus","pontica",4,"Quercus pontica"
"Robinia","spec.",4,"Robinia spec."
"Salix","rosmarinifolia",4,"Salix rosmarinifolia"
"Abies","koreana",3,"Abies koreana"
"Abies","procera",3,"Abies procera"
"Aesculus","indica",3,"Aesculus indica"
"Aesculus","pavia",3,"Aesculus pavia"
"Aesculus","x hybrida",3,"Aesculus x hybrida"
"Aesculus","x neglecta",3,"Aesculus x neglecta"
"Betula","maximowicziana",3,"Betula maximowicziana"
"Carpinus","turczaninowii",3,"Carpinus turczaninowii"
"Carya","illinoinensis",3,"Carya illinoinensis"
"Cornus","walteri",3,"Cornus walteri"
"Gehölz (Laub oder N","",3,"Gehölz (Laub oder N "
"Magnolia","acuminata",3,"Magnolia acuminata"
"Malus","toringo",3,"Malus toringo"
"Picea","breweriana",3,"Picea breweriana"
"Picea","mariana",3,"Picea mariana"
"Picea","polita",3,"Picea polita"
